Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Pats Peak,New Hampshire,New Hampshire,1460,770,690,0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,72.0,112.0,93.0,16,1.1767206413715856,171.14129853460264,0.0335570469798657,0.0590146182999458,0.0697674418604651,0.2473404255319149,0.3928571428571428,0.0956521739130434,0.0,0.0
Ragged Mountain Resort,New Hampshire,New Hampshire,2250,1250,1000,0,1,1,0,1,0,3,6,57.0,3.0,0.7,250.0,200.0,,54.0,100.0,84.0,140.0,,16,1.1767206413715856,171.14129853460264,0.0729501021301429,,0.0697674418604651,,0.1052631578947368,0.024,0.0175438596491228,0.004
Waterville Valley,New Hampshire,New Hampshire,4004,2020,1984,0,0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,93.0,142.0,,16,1.1767206413715856,171.14129853460264,0.0773271082579515,0.0768814293448836,0.0930232558139534,,0.1774193548387097,0.0415094339622641,0.032258064516129,0.0075471698113207
Whaleback Mountain,New Hampshire,New Hampshire,1800,700,1100,0,0,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,45.0,105.0,55.0,16,1.1767206413715856,171.14129853460264,0.0248030347242486,0.0568489442338928,0.0232558139534883,0.1462765957446808,0.1333333333333333,0.0470588235294117,0.0,0.0
Wildcat Mountain,New Hampshire,New Hampshire,4062,2112,1950,0,0,1,0,3,0,1,5,48.0,,2.8,225.0,200.0,156.0,61.0,200.0,89.0,150.0,,16,1.1767206413715856,171.14129853460264,0.0656550919171286,0.0844612885760693,,,0.1041666666666666,0.0222222222222222,0.0208333333333333,0.0044444444444444
Mountain Creek Resort,New Jersey,New Jersey,1480,1040,440,1,0,2,2,1,1,3,10,46.0,3.0,2.0,167.0,167.0,90.0,54.0,65.0,79.99,100.0,167.0,2,0.0225169693510271,22.9278917803508,0.8789473684210526,0.5294117647058824,0.75,0.9226519337016574,0.217391304347826,0.059880239520958,0.0434782608695652,0.0119760479041916
Angel Fire Resort,New Mexico,New Mexico,10677,2077,8600,0,0,2,0,0,3,2,7,81.0,3.0,3.0,560.0,230.0,101.0,53.0,210.0,77.0,101.0,50.0,9,0.4292195500920676,7.401924500370097,0.1072180739038866,0.1045548654244306,0.1666666666666666,1.0,0.0864197530864197,0.0125,0.0246913580246913,0.0035714285714285
Enchanted Forest Ski Area,New Mexico,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,33.0,,2.5,600.0,,130.0,34.0,240.0,20.0,140.0,,9,0.4292195500920676,7.401924500370097,0.1148765077541642,0.134575569358178,,,0.0,0.0,0.0,0.0
Pajarito Mountain Ski Area,New Mexico,New Mexico,10441,1410,9031,0,0,0,1,1,3,1,6,45.0,2.0,0.6,750.0,35.0,89.0,62.0,163.0,49.0,117.0,,9,0.4292195500920676,7.401924500370097,0.1435956346927053,0.0921325051759834,0.1111111111111111,,0.1333333333333333,0.008,0.0,0.0
Red River,New Mexico,New Mexico,10350,1600,8750,0,0,0,1,3,1,2,7,63.0,3.0,2.5,209.0,,110.0,60.0,214.0,79.0,,,9,0.4292195500920676,7.401924500370097,0.0400153168677005,0.113871635610766,0.1666666666666666,,0.1111111111111111,0.0334928229665071,0.0,0.0
Sandia Peak,New Mexico,New Mexico,10378,1700,8678,0,0,0,0,0,4,1,5,39.0,1.0,2.0,200.0,30.0,32.0,82.0,100.0,55.0,38.0,,9,0.4292195500920676,7.401924500370097,0.038292169251388,0.0331262939958592,0.0555555555555555,,0.1282051282051282,0.025,0.0,0.0
Sipapu Ski Resort,New Mexico,New Mexico,9255,1055,8200,0,0,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,143.0,,9,0.4292195500920676,7.401924500370097,0.038292169251388,0.1314699792960662,0.2222222222222222,,0.1428571428571428,0.03,0.0,0.0
Ski Apache,New Mexico,New Mexico,11500,1900,9600,1,0,0,2,6,0,2,11,55.0,3.0,2.0,750.0,270.0,133.0,58.0,185.0,74.0,124.0,,9,0.4292195500920676,7.401924500370097,0.1435956346927053,0.1376811594202898,0.1666666666666666,,0.2,0.0146666666666666,0.0,0.0
Ski Santa Fe,New Mexico,New Mexico,12075,1725,10350,0,0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,130.0,,9,0.4292195500920676,7.401924500370097,0.1263641585295807,0.1107660455486542,0.0555555555555555,,0.0843373493975903,0.0106060606060606,0.0,0.0
Taos Ski Valley,New Mexico,New Mexico,12481,3281,9200,1,0,1,3,4,1,4,14,111.0,1.0,5.0,1294.0,647.0,137.0,64.0,300.0,110.0,136.0,,9,0.4292195500920676,7.401924500370097,0.2477503350564809,0.1418219461697722,0.0555555555555555,,0.1261261261261261,0.0108191653786707,0.009009009009009,0.0007727975270479
Belleayre,New York,New York,3429,1404,2025,1,0,1,1,1,2,2,8,50.0,2.0,2.2,175.0,168.0,154.0,70.0,130.0,72.0,150.0,,33,0.1696347522183727,60.48941435248832,0.0317373957199854,0.0645973154362416,0.0277777777777777,,0.16,0.0457142857142857,0.02,0.0057142857142857
Brantling Ski Slopes,New York,New York,850,250,600,0,0,0,0,0,0,5,5,10.0,,0.1,20.0,16.0,,19.0,110.0,32.0,,,33,0.1696347522183727,60.48941435248832,0.0036271309394269,,,,0.5,0.25,0.0,0.0
Bristol Mountain,New York,New York,2200,1200,1000,0,0,2,1,1,1,1,6,34.0,3.0,2.0,160.0,148.0,129.0,55.0,60.0,76.0,129.0,154.0,33,0.1696347522183727,60.48941435248832,0.0290170475154153,0.0541107382550335,0.0416666666666666,0.0543018335684062,0.1764705882352941,0.0375,0.0588235294117647,0.0125
Buffalo Ski Club Ski Area,New York,New York,3429,500,2025,0,0,0,0,0,2,4,6,43.0,1.0,,225.0,150.0,,12.0,,50.0,,100.0,33,0.1696347522183727,60.48941435248832,0.0408052230685527,,0.0138888888888888,0.0352609308885754,0.1395348837209302,0.0266666666666666,0.0,0.0
Catamount,New York,New York,2000,1000,1000,0,0,0,1,1,2,3,7,36.0,5.0,2.0,133.0,130.0,100.0,80.0,108.0,69.0,90.0,55.0,33,0.1696347522183727,60.48941435248832,0.0241204207471889,0.0419463087248322,0.0694444444444444,0.0193935119887165,0.1944444444444444,0.0526315789473684,0.0,0.0
Dry Hill Ski Area,New York,New York,950,300,650,0,0,0,0,0,1,2,3,7.0,1.0,0.2,35.0,26.0,,55.0,125.0,35.0,,26.0,33,0.1696347522183727,60.48941435248832,0.006347479143997,,0.0138888888888888,0.0091678420310296,0.4285714285714285,0.0857142857142857,0.0,0.0
Gore Mountain,New York,New York,3600,2537,998,1,0,2,2,3,2,4,14,110.0,7.0,4.5,439.0,338.0,142.0,55.0,150.0,88.0,,15.0,33,0.1696347522183727,60.48941435248832,0.0796155241204207,0.0595637583892617,0.0972222222222222,0.0052891396332863,0.1272727272727272,0.0318906605922551,0.0181818181818181,0.0045558086560364
Greek Peak,New York,New York,2100,952,1148,0,0,0,1,1,4,2,8,56.0,4.0,1.5,220.0,184.0,110.0,62.0,122.0,63.2,113.0,175.0,33,0.1696347522183727,60.48941435248832,0.039898440333696,0.0461409395973154,0.0555555555555555,0.061706629055007,0.1428571428571428,0.0363636363636363,0.0,0.0
Holiday Mountain,New York,New York,1550,400,1150,0,0,0,1,0,1,2,4,9.0,,0.4,37.0,37.0,75.0,60.0,50.0,42.0,85.0,37.0,33,0.1696347522183727,60.48941435248832,0.0067101922379397,0.0314597315436241,,0.0130465444287729,0.4444444444444444,0.1081081081081081,0.0,0.0
Holiday Valley,New York,New York,2250,750,1500,0,0,3,8,0,0,2,13,60.0,5.0,1.0,290.0,266.0,116.0,62.0,180.0,78.0,129.0,189.0,33,0.1696347522183727,60.48941435248832,0.0525933986216902,0.0486577181208053,0.0694444444444444,0.0666431593794076,0.2166666666666666,0.0448275862068965,0.05,0.0103448275862068
Holimont Ski Area,New York,New York,2260,700,1560,0,0,1,1,2,3,1,8,53.0,3.0,1.5,135.0,135.0,110.0,57.0,180.0,75.0,119.0,,33,0.1696347522183727,60.48941435248832,0.0244831338411316,0.0461409395973154,0.0416666666666666,,0.1509433962264151,0.0592592592592592,0.0188679245283018,0.0074074074074074
Hunt Hollow Ski Club,New York,New York,2030,825,1000,0,0,0,0,1,1,1,3,19.0,1.0,1.0,400.0,400.0,,52.0,130.0,58.0,75.0,400.0,33,0.1696347522183727,60.48941435248832,0.0725426187885382,,0.0138888888888888,0.1410437235543018,0.1578947368421052,0.0075,0.0,0.0
Hunter Mountain,New York,New York,3200,1600,1600,0,2,1,2,2,2,4,13,67.0,4.0,2.0,320.0,320.0,148.0,59.0,120.0,89.0,155.0,,33,0.1696347522183727,60.48941435248832,0.0580340950308306,0.0620805369127516,0.0555555555555555,,0.1940298507462686,0.040625,0.0149253731343283,0.003125
Kissing Bridge,New York,New York,1700,550,1150,0,0,0,2,1,4,3,10,39.0,5.0,0.5,700.0,550.0,103.0,59.0,120.0,60.0,100.0,650.0,33,0.1696347522183727,60.48941435248832,0.1269495828799419,0.0432046979865771,0.0694444444444444,0.2291960507757404,0.2564102564102564,0.0142857142857142,0.0,0.0
Labrador Mt.,New York,New York,1825,700,1125,0,0,0,0,1,2,1,4,23.0,1.0,1.0,250.0,237.0,,62.0,125.0,59.0,100.0,180.0,33,0.1696347522183727,60.48941435248832,0.0453391367428364,,0.0138888888888888,0.0634696755994358,0.1739130434782608,0.016,0.0,0.0
Maple Ski Ridge,New York,New York,1200,450,750,0,0,0,0,1,1,1,3,10.0,,0.3,25.0,25.0,,57.0,,38.0,,20.0,33,0.1696347522183727,60.48941435248832,0.0045339136742836,,,0.007052186177715,0.3,0.12,0.0,0.0
McCauley Mountain Ski Center,New York,New York,2250,633,1563,0,0,0,0,0,1,4,5,23.0,1.0,0.3,70.0,55.0,105.0,61.0,200.0,30.0,105.0,,33,0.1696347522183727,60.48941435248832,0.0126949582879941,0.0440436241610738,0.0138888888888888,,0.217391304347826,0.0714285714285714,0.0,0.0
Mount Peter Ski Area,New York,New York,1250,450,750,0,0,0,1,0,2,2,5,14.0,1.0,1.0,69.0,69.0,100.0,83.0,50.0,54.0,100.0,69.0,33,0.1696347522183727,60.48941435248832,0.0125136017410228,0.0419463087248322,0.0138888888888888,0.024330042313117,0.3571428571428571,0.072463768115942,0.0,0.0
Oak Mountain,New York,New York,2400,650,1750,0,0,0,1,0,0,3,4,22.0,1.0,1.2,46.0,18.0,,71.0,120.0,40.0,,12.0,33,0.1696347522183727,60.48941435248832,0.0083424011606819,,0.0138888888888888,0.004231311706629,0.1818181818181818,0.0869565217391304,0.0,0.0
Peek'n Peak,New York,New York,1800,400,1400,0,0,0,0,8,0,2,10,27.0,4.0,2.4,110.0,110.0,110.0,55.0,225.0,63.0,,110.0,33,0.1696347522183727,60.48941435248832,0.019949220166848,0.0461409395973154,0.0555555555555555,0.038787023977433,0.3703703703703703,0.0909090909090909,0.0,0.0
Plattekill Mountain,New York,New York,3500,1100,2400,0,0,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,67.0,65.0,,33,0.1696347522183727,60.48941435248832,0.019949220166848,0.0272651006711409,0.0138888888888888,,0.1052631578947368,0.0363636363636363,0.0,0.0
Royal Mountain Ski Area,New York,New York,1800,550,1250,0,0,0,0,0,3,0,3,14.0,,0.3,35.0,28.0,,63.0,90.0,45.0,,,33,0.1696347522183727,60.48941435248832,0.006347479143997,,,,0.2142857142857142,0.0857142857142857,0.0,0.0
Snow Ridge,New York,New York,2000,650,1350,0,0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,48.0,100.0,40.0,33,0.1696347522183727,60.48941435248832,0.0235763511062749,0.0306208053691275,0.0277777777777777,0.0141043723554301,0.2857142857142857,0.0461538461538461,0.0,0.0
Song Mountain,New York,New York,1940,700,1240,0,0,0,0,1,1,3,5,24.0,,0.4,93.0,70.0,90.0,55.0,125.0,59.0,122.0,70.0,33,0.1696347522183727,60.48941435248832,0.0168661588683351,0.0377516778523489,,0.0246826516220028,0.2083333333333333,0.053763440860215,0.0,0.0
Swain,New York,New York,1970,650,1320,0,0,0,3,0,1,1,5,35.0,3.0,1.0,130.0,90.0,102.0,72.0,120.0,59.0,100.0,80.0,33,0.1696347522183727,60.48941435248832,0.0235763511062749,0.0427852348993288,0.0416666666666666,0.0282087447108603,0.1428571428571428,0.0384615384615384,0.0,0.0
Thunder Ridge,New York,New York,1270,500,770,0,0,0,0,1,2,3,6,30.0,,0.4,100.0,100.0,121.0,60.0,,57.0,121.0,100.0,33,0.1696347522183727,60.48941435248832,0.0181356546971345,0.0507550335570469,,0.0352609308885754,0.2,0.06,0.0,0.0
Titus Mountain,New York,New York,2025,1200,825,0,0,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,101.0,59.0,150.0,49.0,100.0,70.0,33,0.1696347522183727,60.48941435248832,0.0362713093942691,0.0423657718120805,0.0416666666666666,0.0246826516220028,0.2,0.05,0.0,0.0
Toggenburg Mountain,New York,New York,2000,700,1300,0,0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,,,66.0,130.0,55.0,122.0,73.0,33,0.1696347522183727,60.48941435248832,0.0154153064925643,,0.0277777777777777,0.02574047954866,0.2272727272727272,0.0588235294117647,0.0,0.0
West Mountain,New York,New York,1470,1010,460,0,0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,,58.0,80.0,59.0,120.0,105.0,33,0.1696347522183727,60.48941435248832,0.0224882118244468,,0.0138888888888888,0.0370239774330042,0.1724137931034483,0.0403225806451612,0.0,0.0
Whiteface Mountain Resort,New York,New York,4650,3430,1220,1,0,1,1,2,5,2,12,86.0,5.0,2.1,288.0,220.0,122.0,61.0,168.0,96.0,141.0,,33,0.1696347522183727,60.48941435248832,0.0522306855277475,0.0511744966442953,0.0694444444444444,,0.1395348837209302,0.0416666666666666,0.0116279069767441,0.0034722222222222
Willard Mountain,New York,New York,1415,505,910,0,0,0,0,0,2,3,5,16.0,,0.4,50.0,35.0,85.0,19.0,80.0,46.0,120.0,35.0,33,0.1696347522183727,60.48941435248832,0.0090678273485672,0.0356543624161073,,0.0123413258110014,0.3125,0.1,0.0,0.0
Windham Mountain,New York,New York,3100,1600,1500,0,1,2,0,3,1,5,12,54.0,6.0,2.0,285.0,280.0,123.0,59.0,105.0,95.0,130.0,56.0,33,0.1696347522183727,60.48941435248832,0.0516866158868335,0.0515939597315436,0.0833333333333333,0.0197461212976022,0.2222222222222222,0.0421052631578947,0.037037037037037,0.0070175438596491
Woods Valley Ski Area,New York,New York,1400,500,900,0,0,0,0,0,2,4,6,21.0,,0.3,25.0,16.0,,55.0,180.0,39.0,,15.0,33,0.1696347522183727,60.48941435248832,0.0045339136742836,,,0.0052891396332863,0.2857142857142857,0.24,0.0,0.0
Appalachian Ski Mountain,North Carolina,North Carolina,4000,365,3635,0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,64.0,100.0,27.0,6,0.0572077798003906,11.148479161634366,0.0729729729729729,0.1976284584980237,0.3333333333333333,0.0805970149253731,0.4166666666666667,0.1851851851851851,0.0,0.0
Cataloochee Ski Area,North Carolina,North Carolina,5400,740,4660,0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,70.0,108.0,50.0,6,0.0572077798003906,11.148479161634366,0.1351351351351351,0.2786561264822134,0.2222222222222222,0.1492537313432835,0.2777777777777778,0.1,0.0,0.0
Sapphire Valley,North Carolina,North Carolina,3450,200,3200,0,0,0,1,0,0,2,3,,1.0,1.0,8.0,8.0,53.0,55.0,24.0,43.0,60.0,8.0,6,0.0572077798003906,11.148479161634366,0.0216216216216216,0.1047430830039525,0.1111111111111111,0.0238805970149253,,0.375,,0.0
Beech Mountain Resort,North Carolina,North Carolina,5506,830,4675,0,0,0,3,0,3,2,8,17.0,1.0,1.0,95.0,95.0,98.0,52.0,31.0,68.0,,95.0,6,0.0572077798003906,11.148479161634366,0.2567567567567567,0.1936758893280632,0.1111111111111111,0.2835820895522388,0.4705882352941176,0.0842105263157894,0.0,0.0
Sugar Mountain Resort,North Carolina,North Carolina,5300,1200,4100,0,1,0,0,1,4,2,8,21.0,1.0,1.5,125.0,125.0,114.0,50.0,77.0,75.0,120.0,95.0,6,0.0572077798003906,11.148479161634366,0.3378378378378378,0.225296442687747,0.1111111111111111,0.2835820895522388,0.3809523809523809,0.064,0.0,0.0
Wolf Ridge Ski Resort,North Carolina,North Carolina,4700,720,4000,0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,,49.0,65.0,65.0,100.0,60.0,6,0.0572077798003906,11.148479161634366,0.1756756756756756,,0.1111111111111111,0.1791044776119403,0.2666666666666666,0.0615384615384615,0.0,0.0
Alpine Valley,Ohio,Ohio,1500,230,1260,0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,,72.0,5,0.0427748928488934,11.154240842368267,0.171021377672209,0.2147239263803681,0.0833333333333333,0.171021377672209,0.4545454545454545,0.0694444444444444,0.0,0.0
Boston Mills,Ohio,Ohio,871,264,631,0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,110.0,40.0,5,0.0427748928488934,11.154240842368267,0.0950118764845605,0.1881390593047034,0.1666666666666666,0.0950118764845605,1.1428571428571428,0.2,0.0,0.0
Brandywine,Ohio,Ohio,871,240,631,0,0,0,2,7,2,5,16,11.0,2.0,0.3,85.0,85.0,92.0,56.0,51.0,44.0,110.0,85.0,5,0.0427748928488934,11.154240842368267,0.2019002375296912,0.1881390593047034,0.1666666666666666,0.2019002375296912,1.4545454545454546,0.188235294117647,0.0,0.0
Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,44.0,90.0,144.0,5,0.0427748928488934,11.154240842368267,0.342042755344418,0.2024539877300613,0.3333333333333333,0.342042755344418,0.6,0.0833333333333333,0.0,0.0
Snow Trails,Ohio,Ohio,1475,301,1174,0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,52.0,70.0,80.0,5,0.0427748928488934,11.154240842368267,0.1900237529691211,0.2065439672801636,0.25,0.1900237529691211,0.5294117647058824,0.1125,0.0,0.0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,,75.0,56.0,300.0,40.0,80.0,,10,0.2370939676893082,10.164770936886937,0.0934261933072872,0.0635593220338983,0.0909090909090909,,0.1428571428571428,0.0027272727272727,0.0,0.0
Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0,0,0,0,1,1,2,10.0,,0.1,50.0,,78.0,66.0,100.0,39.0,90.0,,10,0.2370939676893082,10.164770936886937,0.0042466451503312,0.0661016949152542,,,0.2,0.04,0.0,0.0
Hoodoo Ski Area,Oregon,Oregon,5703,1035,4668,0,0,0,3,1,1,0,5,34.0,,0.4,806.0,,80.0,81.0,350.0,59.0,108.0,200.0,10,0.2370939676893082,10.164770936886937,0.0684559198233395,0.0677966101694915,,0.1774622892635315,0.1470588235294117,0.0062034739454094,0.0,0.0
Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,,94.0,55.0,300.0,52.0,92.0,40.0,10,0.2370939676893082,10.164770936886937,0.0186852386614574,0.0796610169491525,0.0909090909090909,0.0354924578527063,0.217391304347826,0.0227272727272727,0.0,0.0
Mt. Bachelor,Oregon,Oregon,9065,3365,5700,0,0,8,0,3,0,0,11,101.0,5.0,4.0,4318.0,20.0,185.0,61.0,462.0,99.0,185.0,,10,0.2370939676893082,10.164770936886937,0.3667402751826057,0.1567796610169491,0.2272727272727272,,0.1089108910891089,0.0025474756831866,0.0792079207920792,0.0018527095877721
Mt. Hood Skibowl,Mt. Hood,Oregon,5100,1500,3600,0,0,0,0,0,4,5,9,65.0,2.0,3.0,960.0,29.0,125.0,82.0,300.0,70.0,144.0,317.0,10,0.2370939676893082,10.164770936886937,0.0815355868863597,0.1059322033898305,0.0909090909090909,0.2812777284826974,0.1384615384615384,0.009375,0.0,0.0
Willamette Pass,Oregon,Oregon,6683,1563,5120,0,1,0,0,3,0,1,5,29.0,,2.1,555.0,60.0,3.0,78.0,430.0,60.0,100.0,,10,0.2370939676893082,10.164770936886937,0.0471377611686767,0.0025423728813559,,,0.1724137931034483,0.009009009009009,0.0,0.0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100,510,600,0,0,0,3,1,0,2,6,23.0,3.0,1.0,86.0,86.0,91.0,52.0,30.0,60.0,90.0,86.0,19,0.1484144377877531,41.25591696703869,0.0455508474576271,0.0648148148148148,0.0638297872340425,0.056282722513089,0.2608695652173913,0.0697674418604651,0.0,0.0
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,62.0,75.0,26.0,19,0.1484144377877531,41.25591696703869,0.0137711864406779,0.0534188034188034,0.0212765957446808,0.0170157068062827,0.3333333333333333,0.2307692307692307,0.0,0.0
Big Boulder,Pennsylvania,Pennsylvania,2175,600,1700,0,0,0,0,2,5,1,8,16.0,8.0,,55.0,55.0,76.0,72.0,50.0,65.0,95.0,55.0,19,0.1484144377877531,41.25591696703869,0.0291313559322033,0.0541310541310541,0.1702127659574468,0.0359947643979057,0.5,0.1454545454545454,0.0,0.0
Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,68.0,105.0,42.0,19,0.1484144377877531,41.25591696703869,0.0529661016949152,0.0619658119658119,0.0212765957446808,0.0274869109947644,0.1764705882352941,0.06,0.0,0.0
