Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600,1082,460,0,1,1,1,1,3,9,16,39.0,5.0,1.2,164.0,164.0,122.0,42.0,33.0,65.0,112.0,164.0,19,0.1484144377877531,41.25591696703869,0.086864406779661,0.0868945868945869,0.1063829787234042,0.1073298429319371,0.4102564102564102,0.0975609756097561,0.0256410256410256,0.0060975609756097
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,70.0,100.0,160.0,19,0.1484144377877531,41.25591696703869,0.0879237288135593,0.0712250712250712,0.1063829787234042,0.1047120418848167,0.4324324324324324,0.0963855421686747,0.054054054054054,0.0120481927710843
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693,1000,1693,0,0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,,60.0,60.0,69.0,100.0,90.0,19,0.1484144377877531,41.25591696703869,0.0953389830508474,,0.0425531914893617,0.0589005235602094,0.2592592592592592,0.0388888888888888,0.0,0.0
Jack Frost,Pennsylvania,Pennsylvania,2000,600,1400,0,0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,65.0,105.0,,19,0.1484144377877531,41.25591696703869,0.0529661016949152,0.0683760683760683,0.0212765957446808,,0.45,0.09,0.0,0.0
Liberty,Pennsylvania,Pennsylvania,1190,620,570,0,0,0,5,0,0,3,8,16.0,3.0,1.0,100.0,100.0,107.0,54.0,31.0,77.0,97.0,100.0,19,0.1484144377877531,41.25591696703869,0.0529661016949152,0.0762108262108262,0.0638297872340425,0.0654450261780104,0.5,0.08,0.0,0.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540,340,1200,0,0,0,0,1,0,1,2,10.0,,0.5,40.0,35.0,75.0,48.0,100.0,33.0,90.0,35.0,19,0.1484144377877531,41.25591696703869,0.0211864406779661,0.0534188034188034,,0.0229057591623036,0.2,0.05,0.0,0.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400,600,800,0,0,0,3,2,0,3,8,20.0,2.0,0.4,103.0,103.0,,55.0,30.0,73.0,,100.0,19,0.1484144377877531,41.25591696703869,0.0545550847457627,,0.0425531914893617,0.0654450261780104,0.4,0.0776699029126213,0.0,0.0
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,99.0,87.0,135.0,87.0,115.0,200.0,19,0.1484144377877531,41.25591696703869,0.1509533898305084,0.0705128205128205,0.1489361702127659,0.1308900523560209,0.4242424242424242,0.0491228070175438,0.0,0.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,65.0,122.0,120.0,19,0.1484144377877531,41.25591696703869,0.066207627118644,0.0712250712250712,0.0425531914893617,0.0785340314136125,0.4347826086956521,0.08,0.0434782608695652,0.008
Ski Sawmill,Pennsylvania,Pennsylvania,2215,515,1700,0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,,50.0,24.0,44.0,90.0,15.0,19,0.1484144377877531,41.25591696703869,0.0079449152542372,,0.0212765957446808,0.0098167539267015,0.3571428571428571,0.3333333333333333,0.0,0.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750,520,1230,0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,45.0,100.0,30.0,19,0.1484144377877531,41.25591696703869,0.0201271186440677,0.0712250712250712,0.0212765957446808,0.0196335078534031,0.625,0.131578947368421,0.0,0.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800,935,865,0,0,1,3,0,2,2,8,23.0,2.0,1.0,120.0,120.0,116.0,28.0,40.0,71.0,100.0,120.0,19,0.1484144377877531,41.25591696703869,0.0635593220338983,0.0826210826210826,0.0425531914893617,0.0785340314136125,0.3478260869565217,0.0666666666666666,0.0434782608695652,0.0083333333333333
Deer Mountain Ski Resort,South Dakota,South Dakota,6850,940,6040,0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,81.0,,2,0.2260758100013677,2.593495513252762,0.5263157894736842,0.3770491803278688,0.6666666666666666,,0.0634920634920634,0.008,0.0,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100,1100,5900,0,0,3,0,1,0,1,5,30.0,1.0,1.2,450.0,225.0,114.0,65.0,150.0,58.0,120.0,,2,0.2260758100013677,2.593495513252762,0.4736842105263157,0.6229508196721312,0.3333333333333333,,0.1666666666666666,0.0111111111111111,0.1,0.0066666666666666
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,3300,600,2700,0,0,0,2,0,1,1,4,10.0,1.0,1.0,,,83.0,44.0,35.0,65.0,94.0,,1,0.014643059321669,2.372817008352316,,1.0,1.0,,0.4,,0.0,
Alta Ski Area,Salt Lake City,Utah,11068,2538,8530,0,0,3,0,1,2,0,6,116.0,,1.3,2614.0,140.0,150.0,81.0,545.0,116.0,140.0,,13,0.4054950189615709,15.312673003757494,0.085682443949128,0.0971502590673575,,,0.0517241379310344,0.0022953328232593,0.0258620689655172,0.0011476664116296
Beaver Mountain,Utah,Utah,8600,1600,7232,0,0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,,120.0,81.0,400.0,50.0,120.0,,13,0.4054950189615709,15.312673003757494,0.0152091254752851,0.077720207253886,0.0769230769230769,,0.1041666666666666,0.0107758620689655,0.0,0.0
Brian Head Resort,Utah,Utah,10970,1548,9600,0,0,1,0,6,1,0,8,71.0,2.0,0.6,650.0,216.0,149.0,54.0,360.0,59.0,148.0,,13,0.4054950189615709,15.312673003757494,0.0213058869804641,0.0965025906735751,0.0769230769230769,,0.1126760563380281,0.0123076923076923,0.0140845070422535,0.0015384615384615
Brighton Resort,Salt Lake City,Utah,10500,1745,8755,0,0,3,1,1,0,2,7,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,500.0,85.0,138.0,200.0,13,0.4054950189615709,15.312673003757494,0.0344172020453651,0.0893782383419689,0.1538461538461538,0.3115264797507788,0.106060606060606,0.0066666666666666,0.0454545454545454,0.0028571428571428
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0,13,0,5,2,0,21,103.0,,2.8,2026.0,660.0,,39.0,300.0,169.0,,,13,0.4054950189615709,15.312673003757494,0.0664088108037236,,,,0.203883495145631,0.0103652517275419,0.1262135922330097,0.006416584402764
Eagle Point,Utah,Utah,10600,1500,9100,0,0,0,1,1,2,1,5,40.0,1.0,0.9,650.0,,,9.0,400.0,60.0,109.0,,13,0.4054950189615709,15.312673003757494,0.0213058869804641,,0.0384615384615384,,0.125,0.0076923076923076,0.0,0.0
Powder Mountain,Utah,Utah,9422,2522,6900,0,0,1,4,1,0,3,9,167.0,2.0,3.5,8464.0,,120.0,47.0,500.0,88.0,146.0,300.0,13,0.4054950189615709,15.312673003757494,0.2774354267733053,0.077720207253886,0.0769230769230769,0.4672897196261682,0.0538922155688622,0.0010633270321361,0.0059880239520958,0.0001181474480151
Snowbasin,Utah,Utah,9350,2900,6450,3,1,2,0,3,0,2,11,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,300.0,115.0,138.0,,13,0.4054950189615709,15.312673003757494,0.0983348629867575,0.0926165803108808,0.1538461538461538,,0.102803738317757,0.0036666666666666,0.0186915887850467,0.0006666666666666
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0,6,0,0,4,3,14,170.0,1.0,2.5,2500.0,,188.0,48.0,500.0,125.0,180.0,2.0,13,0.4054950189615709,15.312673003757494,0.0819457191556313,0.121761658031088,0.0384615384615384,0.0031152647975077,0.0823529411764705,0.0056,0.0352941176470588,0.0024
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,4,2,1,1,1,9,80.0,,3.0,1200.0,150.0,161.0,62.0,500.0,119.0,148.0,,13,0.4054950189615709,15.312673003757494,0.039333945194703,0.1042746113989637,,,0.1125,0.0075,0.05,0.0033333333333333
Sundance,Utah,Utah,8250,2150,6100,0,0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,129.0,,13,0.4054950189615709,15.312673003757494,0.0147502294480136,0.082901554404145,0.0384615384615384,,0.1111111111111111,0.0111111111111111,0.0,0.0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,105.0,51.0,300.0,50.0,105.0,140.0,13,0.4054950189615709,15.312673003757494,0.0045889602727153,0.0680051813471502,0.0384615384615384,0.2180685358255451,0.1739130434782608,0.0285714285714285,0.0,0.0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,79.0,132.0,50.0,15,2.403888530086268,155.99001663893512,0.0414421881475341,0.0748452447945976,0.06,1.0,0.0845070422535211,0.02,0.0,0.0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,,83.0,168.0,91.0,152.0,,15,2.403888530086268,155.99001663893512,0.0245890316342036,,0.02,,0.1914893617021276,0.0505617977528089,0.0212765957446808,0.0056179775280898
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,125.0,,15,2.403888530086268,155.99001663893512,0.0245890316342036,0.0619020821609454,0.06,,0.12,0.0337078651685393,0.04,0.0112359550561797
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,1,3,1,1,2,9,79.0,2.0,3.0,385.0,300.0,155.0,64.0,349.0,89.0,160.0,,15,2.403888530086268,155.99001663893512,0.0531841414560022,0.0872256612267867,0.04,,0.1139240506329113,0.0233766233766233,0.0126582278481012,0.0025974025974025
Killington Resort,Vermont,Vermont,4241,3050,1165,3,1,5,4,3,1,5,22,155.0,6.0,6.0,1515.0,600.0,192.0,61.0,250.0,119.0,,,15,2.403888530086268,155.99001663893512,0.2092830501450476,0.1080472706809229,0.12,,0.1419354838709677,0.0145214521452145,0.032258064516129,0.0033003300330033
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,80.0,,15,2.403888530086268,155.99001663893512,0.0283188285674816,0.0427687113111986,0.02,,0.12,0.0292682926829268,0.0,0.0
Pico Mountain,Vermont,Vermont,3967,1967,2000,0,0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,,82.0,250.0,81.0,,,15,2.403888530086268,155.99001663893512,0.0359165630611963,,0.02,,0.1186440677966101,0.0269230769230769,0.0338983050847457,0.0076923076923076
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,135.0,,15,2.403888530086268,155.99001663893512,0.1381406271584473,0.076533483398987,0.12,,0.1025641025641025,0.008,0.0,0.0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,5,5,2,1,3,16,111.0,4.0,3.0,581.0,406.0,150.0,61.0,250.0,119.0,156.0,,15,2.403888530086268,155.99001663893512,0.0802597043790578,0.084411930219471,0.08,,0.1441441441441441,0.027538726333907,0.045045045045045,0.0086058519793459
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,2,1,3,24.0,,0.4,100.0,50.0,100.0,85.0,90.0,75.0,106.0,,15,2.403888530086268,155.99001663893512,0.0138140627158447,0.056274620146314,,,0.125,0.03,0.0,0.0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,1,0,1,5,7,8.0,,0.4,25.0,25.0,100.0,54.0,30.0,68.0,95.0,20.0,4,0.0468629968488149,9.35125657510228,0.0929368029739776,0.273224043715847,,0.1481481481481481,0.875,0.28,0.0,0.0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,,101.0,48.0,301.0,62.0,135.0,250.0,10,0.1313216088525472,14.02563886785043,0.1516634050880626,0.098825831702544,0.0476190476190476,0.1251877816725087,0.0786516853932584,0.003010752688172,0.0,0.0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,,70.0,40.0,300.0,47.0,110.0,,10,0.1313216088525472,14.02563886785043,0.0231572080887149,0.0684931506849315,0.0952380952380952,,0.125,0.0084507042253521,0.0,0.0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,,57.0,486.0,99.0,,,10,0.1313216088525472,14.02563886785043,0.1696020874103065,,0.0476190476190476,,0.175438596491228,0.0038461538461538,0.0350877192982456,0.0007692307692307
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,8,0,0,2,10,38.0,,0.7,1000.0,,143.0,66.0,663.0,60.01,165.0,,10,0.1313216088525472,14.02563886785043,0.0652315720808871,0.1399217221135029,,,0.2631578947368421,0.01,0.0,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,,100.0,81.0,300.0,59.0,103.0,45.0,10,0.1313216088525472,14.02563886785043,0.1111545988258317,0.0978473581213307,0.1428571428571428,0.0225338007010515,0.1346153846153846,0.0041079812206572,0.0,0.0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,428.0,95.0,140.0,541.0,10,0.1313216088525472,14.02563886785043,0.1300717547292889,0.1174168297455968,0.238095238095238,0.2709063595393089,0.2410714285714285,0.0135406218655967,0.0267857142857142,0.0015045135406218
White Pass,Washington,Washington,6550,2050,4500,0,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,144.0,90.0,10,0.1313216088525472,14.02563886785043,0.0914546640574037,0.1448140900195694,0.0952380952380952,0.0450676014021031,0.1777777777777777,0.0057061340941512,0.0444444444444444,0.0014265335235378
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,,48.0,160.0,68.0,93.0,,4,0.2231959766693245,16.50846058605035,0.1752767527675277,,0.1111111111111111,,0.0851063829787234,0.0421052631578947,0.0,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,125.0,46.0,180.0,87.0,138.0,86.0,4,0.2231959766693245,16.50846058605035,0.474169741697417,0.3654970760233918,0.5555555555555556,0.4598930481283422,0.2333333333333333,0.0544747081712062,0.05,0.0116731517509727
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,92.0,115.0,27.0,4,0.2231959766693245,16.50846058605035,0.1845018450184501,0.283625730994152,0.1111111111111111,0.1443850267379679,0.1,0.04,0.0,0.0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,72.0,120.0,74.0,4,0.2231959766693245,16.50846058605035,0.1660516605166051,0.3508771929824561,0.2222222222222222,0.3957219251336898,0.3333333333333333,0.1,0.0,0.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,65.0,120.0,90.0,16,0.2747991647479387,24.42897276169537,0.05,0.0658327847267939,0.0697674418604651,0.0807174887892376,0.5714285714285714,0.1333333333333333,0.1428571428571428,0.0333333333333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,42.0,71.0,42.0,25.0,42.0,30.0,16,0.2747991647479387,24.42897276169537,0.0222222222222222,0.0276497695852534,0.0465116279069767,0.0269058295964125,0.4166666666666667,0.125,0.0,0.0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,64.0,120.0,,16,0.2747991647479387,24.42897276169537,0.0972222222222222,0.0789993416721527,0.0930232558139534,,0.2553191489361702,0.0685714285714285,0.0425531914893617,0.0114285714285714
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,38.0,120.0,35.0,16,0.2747991647479387,24.42897276169537,0.025,0.0605661619486504,0.0930232558139534,0.0313901345291479,0.2,0.1333333333333333,0.0,0.0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,65.0,135.0,200.0,16,0.2747991647479387,24.42897276169537,0.1444444444444444,0.0724160631994733,0.0232558139534883,0.179372197309417,0.4444444444444444,0.0461538461538461,0.0,0.0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,49.0,93.0,30.0,16,0.2747991647479387,24.42897276169537,0.0166666666666666,0.0592495062541145,0.0232558139534883,0.0269058295964125,0.3,0.2,0.0,0.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.0,135.0,200.0,16,0.2747991647479387,24.42897276169537,0.1222222222222222,0.0895325872284397,0.0930232558139534,0.179372197309417,0.0933333333333333,0.0318181818181818,0.0266666666666666,0.009090909090909
Little Switzerland,Wisconsin,Wisconsin,1269,200,1069,0,0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,,73.0,,41.0,,50.0,16,0.2747991647479387,24.42897276169537,0.0277777777777777,,0.0697674418604651,0.0448430493273542,0.4444444444444444,0.16,0.0,0.0
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,100.0,90.0,16,0.2747991647479387,24.42897276169537,0.0555555555555555,0.075707702435813,0.0232558139534883,0.0807174887892376,0.2105263157894736,0.04,0.0,0.0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,47.0,90.0,60.0,16,0.2747991647479387,24.42897276169537,0.0333333333333333,0.0447662936142198,0.0930232558139534,0.0538116591928251,0.3888888888888889,0.1166666666666666,0.0,0.0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,44.0,115.0,37.0,16,0.2747991647479387,24.42897276169537,0.0205555555555555,0.065174456879526,0.0930232558139534,0.0331838565022421,0.6923076923076923,0.2432432432432432,0.0,0.0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,120.0,86.0,16,0.2747991647479387,24.42897276169537,0.0477777777777777,0.0855826201448321,0.0930232558139534,0.0771300448430493,0.3333333333333333,0.0930232558139534,0.0,0.0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,48.0,103.0,32.0,16,0.2747991647479387,24.42897276169537,0.0177777777777777,0.0737327188940092,0.1162790697674418,0.0286995515695067,0.2777777777777778,0.15625,0.0,0.0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,118.0,,16,0.2747991647479387,24.42897276169537,0.2222222222222222,0.0691244239631336,0.0232558139534883,,0.1162790697674418,0.0125,0.0,0.0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,125.0,81.0,70.0,66.0,139.0,135.0,16,0.2747991647479387,24.42897276169537,0.075,0.0822909809084924,0.0465116279069767,0.1210762331838565,0.4347826086956521,0.074074074074074,0.0,0.0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,,152.0,50.0,500.0,90.0,152.0,,8,1.382267921535561,8.17887192908918,0.3988962133987429,0.2122905027932961,0.0714285714285714,,0.0526315789473684,0.0019215987701767,0.0210526315789473,0.0007686395080707
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,95.0,,8,1.382267921535561,8.17887192908918,0.0141039399049517,0.1689944134078212,0.0714285714285714,,0.0714285714285714,0.0217391304347826,0.0,0.0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,77.0,,8,1.382267921535561,8.17887192908918,0.0282078798099034,0.0851955307262569,0.0714285714285714,,0.0625,0.0163043478260869,0.0,0.0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,123.0,110.0,8,1.382267921535561,8.17887192908918,0.0613214778476161,0.1689944134078212,0.1428571428571428,1.0,0.09375,0.0075,0.0,0.0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,,,8,1.382267921535561,8.17887192908918,0.011497777096428,0.1829608938547486,0.1428571428571428,,0.1515151515151515,0.0666666666666666,0.0,0.0
White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,0,0,0,2,0,0,2,25.0,,0.4,370.0,,,81.0,150.0,49.0,,,8,1.382267921535561,8.17887192908918,0.0567223670090449,,,,0.08,0.0054054054054054,0.0,0.0
